YEAR,MO,DY,HR,irr
2017,2,11,20,0
2017,2,11,21,0
2017,2,11,22,0
2017,2,11,23,0
2017,2,12,0,0
2017,2,12,1,0
2017,2,12,2,0
2017,2,12,3,0
2017,2,12,4,0
2017,2,12,5,0
2017,2,12,6,0.8
2017,2,12,7,6.3
2017,2,12,8,12.12
2017,2,12,9,20.91
2017,2,12,10,34.46
2017,2,12,11,38.73
2017,2,12,12,38.64
2017,2,12,13,34.09
2017,2,12,14,25.25
2017,2,12,15,14.06
2017,2,12,16,5.29
2017,2,12,17,0
2017,2,12,18,0
2017,2,12,19,0
2017,2,12,20,0
2017,2,12,21,0
2017,2,12,22,0
2017,2,12,23,0
2017,2,13,0,0
2017,2,13,1,0
2017,2,13,2,0
2017,2,13,3,0
2017,2,13,4,0
2017,2,13,5,0
2017,2,13,6,0.81
2017,2,13,7,3.7
2017,2,13,8,10.81
2017,2,13,9,21.16
2017,2,13,10,25.23
2017,2,13,11,24.35
2017,2,13,12,21.2
2017,2,13,13,18.47
2017,2,13,14,15.34
2017,2,13,15,8.66
2017,2,13,16,3.77
2017,2,13,17,0
2017,2,13,18,0
2017,2,13,19,0
2017,2,13,20,0
2017,2,13,21,0
2017,2,13,22,0
2017,2,13,23,0
2017,2,14,0,0
2017,2,14,1,0
2017,2,14,2,0
2017,2,14,3,0
2017,2,14,4,0
2017,2,14,5,0
2017,2,14,6,0.83
2017,2,14,7,6.26
2017,2,14,8,15.06
2017,2,14,9,23.66
2017,2,14,10,35.95
2017,2,14,11,37.4
2017,2,14,12,39.48
2017,2,14,13,25.52
2017,2,14,14,16.66
2017,2,14,15,11.24
2017,2,14,16,3.56
2017,2,14,17,0.16
2017,2,14,18,0
2017,2,14,19,0
2017,2,14,20,0
2017,2,14,21,0
2017,2,14,22,0
2017,2,14,23,0
2017,2,15,0,0
2017,2,15,1,0
2017,2,15,2,0
2017,2,15,3,0
2017,2,15,4,0
2017,2,15,5,0
2017,2,15,6,1.18
2017,2,15,7,10.02
2017,2,15,8,22.68
2017,2,15,9,34.63
2017,2,15,10,42.55
2017,2,15,11,46.73
2017,2,15,12,46.22
2017,2,15,13,40.12
2017,2,15,14,30.07
2017,2,15,15,17.49
2017,2,15,16,5.95
2017,2,15,17,0.24
2017,2,15,18,0
2017,2,15,19,0
2017,2,15,20,0
2017,2,15,21,0
2017,2,15,22,0
2017,2,15,23,0
2017,2,16,0,0
2017,2,16,1,0
2017,2,16,2,0
2017,2,16,3,0
2017,2,16,4,0
2017,2,16,5,0
2017,2,16,6,1.41
2017,2,16,7,10.3
2017,2,16,8,22.72
2017,2,16,9,34.03
2017,2,16,10,42.06
2017,2,16,11,46.43
